tiempo E_cin E_pot E_tot Presion
5e-06 0.00353028 -107.486 -107.483 2094.64
0.000255 0.00352907 -107.486 -107.483 2094.64
0.000505 0.00348858 -107.486 -107.483 2094.65
0.000755 0.00341025 -107.486 -107.483 2094.65
0.001005 0.003297 -107.486 -107.483 2094.65
0.001255 0.00315294 -107.486 -107.483 2094.65
0.001505 0.00298323 -107.486 -107.483 2094.63
0.001755 0.00279385 -107.486 -107.483 2094.63
0.002005 0.00259143 -107.485 -107.483 2094.6
0.002255 0.00238297 -107.485 -107.483 2094.6
0.002505 0.00217555 -107.485 -107.483 2094.59
0.002755 0.0019762 -107.485 -107.483 2094.61
0.003005 0.00179152 -107.485 -107.483 2094.62
0.003255 0.0016274 -107.484 -107.483 2094.61
0.003505 0.001489 -107.484 -107.483 2094.63
0.003755 0.00138028 -107.484 -107.483 2094.61
0.004005 0.00130412 -107.484 -107.483 2094.63
0.004255 0.00126239 -107.484 -107.483 2094.59
0.004505 0.00125527 -107.484 -107.483 2094.59
0.004755 0.00128175 -107.484 -107.483 2094.59
0.005005 0.00133963 -107.484 -107.483 2094.58
0.005255 0.00142576 -107.484 -107.483 2094.56
0.005505 0.00153604 -107.484 -107.483 2094.54
0.005755 0.00166551 -107.485 -107.483 2094.53
0.006005 0.00180878 -107.485 -107.483 2094.57
0.006255 0.00195987 -107.485 -107.483 2094.59
0.006505 0.00211273 -107.485 -107.483 2094.61
0.006755 0.00226111 -107.485 -107.483 2094.57
0.007005 0.00239981 -107.485 -107.483 2094.55
0.007255 0.00252394 -107.485 -107.483 2094.57
0.007505 0.00262897 -107.485 -107.483 2094.57
0.007755 0.00271135 -107.486 -107.483 2094.55
0.008005 0.00276927 -107.486 -107.483 2094.6
0.008255 0.00280098 -107.486 -107.483 2094.6
0.008505 0.00280657 -107.486 -107.483 2094.6
0.008755 0.00278748 -107.486 -107.483 2094.63
0.009005 0.0027455 -107.486 -107.483 2094.63
0.009255 0.00268298 -107.486 -107.483 2094.65
0.009505 0.00260401 -107.485 -107.483 2094.62
0.009755 0.00251325 -107.485 -107.483 2094.62
0.010005 0.00241545 -107.485 -107.483 2094.59
0.010255 0.00231596 -107.485 -107.483 2094.62
0.010505 0.00222005 -107.485 -107.483 2094.57
0.010755 0.00213234 -107.485 -107.483 2094.57
0.011005 0.00205767 -107.485 -107.483 2094.57
0.011255 0.00199997 -107.485 -107.483 2094.61
0.011505 0.00196252 -107.485 -107.483 2094.59
0.011755 0.00194778 -107.485 -107.483 2094.59
0.012005 0.0019574 -107.485 -107.483 2094.64
0.012255 0.0019921 -107.485 -107.483 2094.62
0.012505 0.00205142 -107.485 -107.483 2094.59
0.012755 0.00213429 -107.485 -107.483 2094.54
0.013005 0.00223834 -107.485 -107.483 2094.49
0.013255 0.00236093 -107.485 -107.483 2094.49
0.013505 0.00249777 -107.485 -107.483 2094.5
0.013755 0.00264487 -107.486 -107.483 2094.54
0.014005 0.00279815 -107.486 -107.483 2094.54
0.014255 0.00295225 -107.486 -107.483 2094.57
0.014505 0.00310375 -107.486 -107.483 2094.58
0.014755 0.00324764 -107.486 -107.483 2094.57
0.015005 0.00338086 -107.486 -107.483 2094.56
0.015255 0.00349999 -107.486 -107.483 2094.56
0.015505 0.00360251 -107.486 -107.483 2094.58
0.015755 0.00368664 -107.487 -107.483 2094.6
0.016005 0.00375202 -107.487 -107.483 2094.61
0.016255 0.00379848 -107.487 -107.483 2094.59
0.016505 0.00382712 -107.487 -107.483 2094.63
0.016755 0.00384016 -107.487 -107.483 2094.66
0.017005 0.00384077 -107.487 -107.483 2094.63
0.017255 0.00383211 -107.487 -107.483 2094.64
0.017505 0.00381841 -107.487 -107.483 2094.63
0.017755 0.00380418 -107.487 -107.483 2094.61
0.018005 0.00379375 -107.487 -107.483 2094.61
0.018255 0.00379178 -107.487 -107.483 2094.61
0.018505 0.00380285 -107.487 -107.483 2094.61
0.018755 0.00383128 -107.487 -107.483 2094.61
0.019005 0.00388084 -107.487 -107.483 2094.61
0.019255 0.0039548 -107.487 -107.483 2094.59
0.019505 0.00405532 -107.487 -107.483 2094.63
0.019755 0.00418404 -107.487 -107.483 2094.62
0.020005 0.00434179 -107.487 -107.483 2094.61
0.020255 0.00452877 -107.487 -107.483 2094.61
0.020505 0.00474424 -107.488 -107.483 2094.6
0.020755 0.004987 -107.488 -107.483 2094.59
0.021005 0.00525512 -107.488 -107.483 2094.6
0.021255 0.00554628 -107.488 -107.483 2094.6
0.021505 0.00585781 -107.489 -107.483 2094.61
0.021755 0.00618692 -107.489 -107.483 2094.6
0.022005 0.00653075 -107.489 -107.483 2094.61
0.022255 0.00688669 -107.49 -107.483 2094.62
0.022505 0.00725243 -107.49 -107.483 2094.64
0.022755 0.00762587 -107.49 -107.483 2094.6
0.023005 0.00800593 -107.491 -107.483 2094.57
0.023255 0.00839149 -107.491 -107.483 2094.55
0.023505 0.00878256 -107.492 -107.483 2094.53
0.023755 0.00917949 -107.492 -107.483 2094.53
0.024005 0.00958392 -107.492 -107.483 2094.51
0.024255 0.00999861 -107.493 -107.483 2094.51
0.024505 0.0104259 -107.493 -107.483 2094.47
0.024755 0.010869 -107.494 -107.483 2094.47
0.025005 0.0113303 -107.494 -107.483 2094.46
0.025255 0.0118135 -107.495 -107.483 2094.44
0.025505 0.0123233 -107.495 -107.483 2094.49
0.025755 0.0128639 -107.496 -107.483 2094.49
0.026005 0.0134381 -107.496 -107.483 2094.52
0.026255 0.0140496 -107.497 -107.483 2094.49
0.026505 0.0147019 -107.498 -107.483 2094.51
0.026755 0.0153976 -107.498 -107.483 2094.52
0.027005 0.0161389 -107.499 -107.483 2094.51
0.027255 0.0169276 -107.5 -107.483 2094.53
0.027505 0.0177652 -107.501 -107.483 2094.52
